tablescraper-selected-row href,icon src,name,brief,count
https://lazycat.cloud/appstore/detail/cloud.lazycat.shell.files,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.shell.files/icon.png,懒猫网盘,智能个人云储存管理工具,2883
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.photo,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.photo/icon.png,懒猫相册,智能图片管理工具,2419
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.video,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.video/icon.png,视频播放器,官方视频播放工具,969
https://lazycat.cloud/appstore/detail/cloud.lazycat.developer.tools,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.developer.tools/icon.png,懒猫开发者工具,懒猫开发者工具,880
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.lzctvcontroller,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.lzctvcontroller/icon.png,懒猫智慧屏,自由的大屏浏览器,767
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.forward,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.forward/icon.png,局域网端口转发工具,端口映射,736
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.todolist,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.todolist/icon.png,懒猫清单,简洁待办管理应用,696
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.alist,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.alist/icon.png,AList,私有云盘与网盘映射工具,488
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.testflight,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.testflight/icon.png,内测工具,内测用户使用工具,459
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.libretv,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.libretv/icon.png,LibreTV,免费在线视频搜索与观看平台,307
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.ocr,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.ocr/icon.png,文字识别,懒猫微服官方图像转文字工具,283
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.contacts,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.contacts/icon.png,通讯录,备份你的手机生活,278
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.create,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.create/icon.png,懒猫应用生成器,懒猫应用自动生成工具,266
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.c2fauth,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.c2fauth/icon.png,2FAuth,使用 2FAuth 统一管理您的 2FA,232
https://lazycat.cloud/appstore/detail/in.zhaoj.baidunas,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.baidunas/icon.png,百度网盘NAS版,百度网盘NAS版,231
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.re,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.re/icon.png,观影助手,官方安全浏览器,202
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.radarr,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.radarr/icon.png,Radarr,自动下载并管理电影资源的工具,199
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.windows,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.windows/icon.png,Windows虚拟机,-,194
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.vuetorrent,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.vuetorrent/icon.png,VueTorrent,开源种子下载器,182
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.jellyfinsingle,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.jellyfinsingle/icon.png,Jellyfin,强大且可定制的媒体服务器,180
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.koreader,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.koreader/icon.png,可道阅读器,电子书阅读器,174
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.navidromeng,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.navidromeng/icon.png,Navidrome,开源音乐服务器,170
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.affine,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.affine/icon.png,AFFiNE,一体化看板操作软件,162
https://lazycat.cloud/appstore/detail/iamxiaoe.lzcapp.imallinone,https://dl.lazycat.cloud/appstore/metarepo/apps/iamxiaoe.lzcapp.imallinone/icon.png,即时通讯多合一,即时通讯,158
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.jackett,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.jackett/icon.png,jackett,开源API种子搜索工具,158
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.memos,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.memos/icon.png,Memos,自托管知识库。,156
https://lazycat.cloud/appstore/detail/in.zhaoj.lazycatonlinedevice,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.lazycatonlinedevice/icon.png,懒猫微服在线设备获取,获取微服当前登录用户下登录的设备的域名,146
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.lzcollama,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.lzcollama/icon.png,懒猫实验Ollama,Ollama,144
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.n8n,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.n8n/icon.png,n8n,公平代码许可工作流自动化工具,142
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.cloudfalredweb,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.cloudfalredweb/icon.png,Cloudflared(持续更新),Cloudflared的web客户端（持续更新）,141
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.ubuntu,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.ubuntu/icon.png,Ubuntu虚拟机,-,133
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.prowlarr,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.prowlarr/icon.png,Prowlarr,资源检索工具,130
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.koel,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.koel/icon.png,Koel,Web音乐流应用,130
https://lazycat.cloud/appstore/detail/in.zhaoj.xunlei,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.xunlei/icon.png,迅雷,迅雷下载器,127
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.verysync,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.verysync/icon.png,微力同步,高效跨平台数据传输与加密,127
